entry_time,exit_time,direction,entry,exit,exit_reason,pnl_pct,dollar_pnl,equity
2024-05-05 07:00:00+00:00,2024-05-05 15:00:00+00:00,long,63762.27734375,64347.477450503065,TP,3.475,347.46012381779065,10347.460123817791
2024-05-05 23:00:00+00:00,2024-05-06 08:00:00+00:00,long,64044.046875,64552.12890625,SL,3.656,378.27553809187884,10725.73566190967
2024-07-16 15:00:00+00:00,2024-07-17 01:00:00+00:00,long,64916.21484375,65800.14181667632,TP,3.645,390.9621436033855,11116.697805513055
2024-07-27 21:00:00+00:00,2024-07-27 23:00:00+00:00,long,68854.359375,68061.99223606511,SL,-4.415,-490.7695021740732,10625.928303338982
2024-12-16 14:00:00+00:00,2024-12-16 15:00:00+00:00,long,105328.8671875,106379.70075843162,TP,3.516,373.6584904207342,10999.586793759716
2024-12-16 15:00:00+00:00,2024-12-16 18:00:00+00:00,long,106309.84375,107404.21153015079,TP,3.531,388.43006143833213,11388.016855198048
2025-07-03 13:00:00+00:00,2025-07-03 14:00:00+00:00,long,110462.3203125,109718.2341457797,SL,-4.71,-536.395819399552,10851.621035798496
2025-09-11 16:00:00+00:00,2025-09-11 22:00:00+00:00,long,114540.5390625,115209.70951666319,TP,3.176,344.6468123500912,11196.267848148587
2025-09-12 17:00:00+00:00,2025-09-12 18:00:00+00:00,long,115872.78125,116429.53724961434,TP,2.999,335.7332772835682,11532.001125432156
2025-10-03 08:00:00+00:00,2025-10-03 14:00:00+00:00,long,120075.640625,120741.83775933456,TP,3.132,361.23371499423814,11893.234840426394
2025-10-27 15:00:00+00:00,2025-10-27 18:00:00+00:00,long,114995.8984375,115707.828125,TP,3.24,385.38335735315,12278.618197779544
2026-02-15 03:00:00+00:00,2026-02-15 07:00:00+00:00,long,69957.2265625,70538.87180260775,TP,3.42,419.96327924189114,12698.581477021435
