entry_time,exit_time,direction,entry,exit,dollar_pnl,equity,result,max_runup,bars,pnl_pct,year
2014-11-07,2014-11-10,short,342.4150085449219,371.6732612127759,-253.66095821509313,9746.339041784908,SL,0.261016845703125,3,-8.544675886780123,2014
2014-11-20,2014-12-16,short,357.8399963378906,335.7814357609811,119.53071894386323,9865.86976072877,TP,30.777984619140625,26,6.164364185852699,2014
2015-01-28,2015-02-01,short,233.9149932861328,212.01651331529231,121.81658860261516,9987.686349331385,TP,21.899993896484375,4,9.361725669313351,2015
2015-11-26,2015-11-29,long,352.6839904785156,371.2293150818604,121.92207323786546,10109.60842256925,TP,19.2550048828125,3,5.258340356811438,2015
2017-03-09,2017-03-10,long,1188.489990234375,1189.3599853515625,-1.7188191433439757,10107.889603425907,SL,81.97998046875,1,0.07320172019420487,2017
2017-03-11,2017-03-13,long,1175.8299560546875,1229.4741051817732,122.94947750221976,10230.839080928126,TP,61.5400390625,2,4.5622369842558035,2017
2017-09-05,2017-09-07,long,4376.52978515625,4648.358153683052,125.3379570473708,10356.177037975498,TP,278.51025390625,2,6.21104806481048,2017
2017-11-13,2017-11-15,long,6559.490234375,7062.605869114767,127.34922467833975,10483.526262653837,TP,782.759765625,2,7.670041676458187,2017
2017-11-15,2017-11-16,long,7315.5400390625,7819.996137523543,128.68499602372586,10612.211258677562,TP,651.83984375,1,6.895678183256727,2017
2018-01-02,2018-01-05,long,14982.099609375,16728.400068683783,131.2073631471815,10743.418621824743,TP,2723.099609375,3,11.655912754818695,2018
2018-12-25,2019-01-13,short,3815.49072265625,3570.98847938119,131.8585208056939,10875.277142630437,TP,270.5634765625,19,6.4081467115937265,2018
2020-02-18,2020-02-25,long,10141.99609375,9495.616997611372,-276.8379478599519,10598.439194770484,SL,49.6796875,7,-6.373292694689149,2020
2021-08-06,2021-08-08,long,42816.5,45103.175197759134,129.42426883514813,10727.863463605632,TP,2465.8515625,2,5.340640168531136,2021
2021-10-28,2021-11-02,long,60622.13671875,63562.92437228743,130.70063116363025,10858.564094769263,TP,3620.65625,5,4.851012868749422,2021
2021-11-02,2021-11-08,long,63226.40234375,66054.55285186005,132.00928554449436,10990.573380313757,TP,4447.33984375,6,4.473053033658198,2021
2021-12-28,2022-01-05,short,47588.85546875,45899.359375,95.07750943902468,11085.650889752782,SL,4790.6328125,8,3.5501927438860874,2021
2022-06-01,2022-06-11,short,29799.080078125,28238.508589907116,135.47857440935283,11221.129464162135,TP,1562.8671875,10,5.236978739365424,2022
2022-07-10,2022-07-12,short,20860.44921875,19728.81266192714,137.24554294977358,11358.375007111908,TP,1551.91796875,2,5.424794763315606,2022
2023-02-15,2023-02-16,long,24307.841796875,25009.876229300044,135.99526812921565,11494.370275241125,TP,826.275390625,1,2.888098574490874,2023
2023-08-31,2023-09-11,short,25931.47265625,25175.09069382672,137.85481579467643,11632.225091035802,TP,1001.17578125,11,2.9168492374110317,2023
2023-11-22,2023-12-01,long,37432.33984375,38697.51876236134,140.15320246579606,11772.378293501597,TP,1521.76953125,9,3.3799087203536984,2023
2023-12-13,2023-12-22,long,42890.7421875,44338.70928799254,141.83572953152375,11914.21402303312,TP,1477.21484375,9,3.3759432144182693,2023
2024-03-20,2024-04-08,long,67913.671875,71893.50779502522,145.78867780029603,12060.002700833416,TP,4801.6875,19,5.860139512630668,2024
2024-12-06,2024-12-15,long,99920.7109375,104020.24146230149,146.25038113823481,12206.25308197165,TP,5126.828125,9,4.102783583441207,2024
2025-11-12,2025-11-14,short,101663.1875,97771.64816337613,147.88653920796747,12354.139621179618,TP,7662.453125,2,3.8278746046831076,2025
2025-12-12,2025-12-15,short,90270.4140625,86631.39263622767,149.92250628840242,12504.06212746802,TP,4966.3359375,3,4.031244859199165,2025
2026-01-20,2026-01-29,short,88310.90625,89169.8515625,-62.65265233924272,12441.409475128778,SL,5060.3046875,9,-0.9726378643068223,2026
