timestamp,symbol,version,total_trades,wins,losses,win_rate,net_return,max_drawdown,final_portfolio_value
2026-03-27T08:30:34.324060,CLM,v1,0,0,0,0.00,96.36,0.00,19636.22
2026-03-27T08:30:36.927114,CLM,v1,0,0,0,0.00,96.36,0.00,19636.22
2026-03-27T08:30:39.178087,CLM,v1,0,0,0,0.00,96.36,0.00,19636.22
2026-03-27T08:30:41.409179,CLM,v1,0,0,0,0.00,96.36,0.00,19636.22
2026-03-27T08:30:43.568590,CLM,v1,0,0,0,0.00,96.36,0.00,19636.22
2026-03-27T08:30:45.813783,CLM,v1,0,0,0,0.00,96.36,0.00,19636.22
2026-03-27T08:30:48.133752,CLM,v1,0,0,0,0.00,96.36,0.00,19636.22
2026-03-27T08:30:50.425158,CLM,v1,0,0,0,0.00,96.36,0.00,19636.22
2026-03-27T08:30:52.731936,CLM,v1,0,0,0,0.00,96.36,0.00,19636.22
2026-03-27T08:30:54.984503,CLM,v1,0,0,0,0.00,96.36,0.00,19636.22
2026-03-27T08:30:57.436647,CLM,v1,0,0,0,0.00,96.36,0.00,19636.22
2026-03-27T08:30:59.751183,CLM,v1,0,0,0,0.00,97.38,0.00,19738.43
2026-03-27T08:31:02.208928,CLM,v1,0,0,0,0.00,97.38,0.00,19738.43
2026-03-27T08:31:04.518170,CLM,v1,0,0,0,0.00,97.38,0.00,19738.43
2026-03-27T08:31:06.859395,CLM,v1,0,0,0,0.00,97.38,0.00,19738.43
2026-03-27T08:31:09.217937,CLM,v1,0,0,0,0.00,97.38,0.00,19738.43
2026-03-27T08:31:11.436733,CLM,v1,0,0,0,0.00,97.38,0.00,19738.43
2026-03-27T08:31:13.729409,CLM,v1,0,0,0,0.00,97.38,0.00,19738.43
2026-03-27T08:31:16.028898,CLM,v1,0,0,0,0.00,97.38,0.00,19738.43
2026-03-27T08:31:18.083530,CLM,v1,0,0,0,0.00,97.38,0.00,19738.43
2026-03-27T08:31:20.411488,CLM,v1,0,0,0,0.00,97.90,0.00,19789.53
2026-03-27T08:31:22.831543,CLM,v1,0,0,0,0.00,97.90,0.00,19789.53
2026-03-27T08:31:25.355531,CLM,v1,0,0,0,0.00,97.90,0.00,19789.53
2026-03-27T08:31:27.690366,CLM,v1,0,0,0,0.00,97.90,0.00,19789.53
2026-03-27T08:31:29.986933,CLM,v1,0,0,0,0.00,97.90,0.00,19789.53
2026-03-27T08:31:32.520861,CLM,v1,0,0,0,0.00,97.90,0.00,19789.53
2026-03-27T08:31:34.833446,CLM,v1,0,0,0,0.00,97.90,0.00,19789.53
2026-03-27T08:31:37.302660,CLM,v1,0,0,0,0.00,97.90,0.00,19789.53
2026-03-27T08:31:39.561789,CLM,v1,0,0,0,0.00,97.90,0.00,19789.53
2026-03-27T08:31:41.772817,CLM,v1,0,0,0,0.00,97.90,0.00,19789.53
2026-03-27T08:31:44.144222,CLM,v1,0,0,0,0.00,97.38,0.00,19738.43
2026-03-27T08:31:46.498061,CLM,v1,0,0,0,0.00,97.38,0.00,19738.43
2026-03-27T08:31:48.742473,CLM,v1,0,0,0,0.00,97.90,0.00,19789.53
2026-03-27T08:31:51.152799,CLM,v1,0,0,0,0.00,97.38,0.00,19738.43
